name,nr_files,size,upload_time,n_threads,upload_speed
slidescanner.tif,1,1.6 GB, 22s,16 thrthr,71 MB/s
slidescanner_extracted.tif,1,541MB,6.450s,16thr,83.899MB/s
170315_161220_hippo_b1.czi,1,108528.703 MB , 1766.978 sec , 16 thr , 61.421 MB/s
170315_161220_hippo_b2.czi,1,108528.711 MB , 1948.065 sec , 16 thr , 55.711 MB/s
170315_161220_hippo_b3.czi,1,108528.711 MB , 1479.339 sec , 16 thr , 73.363 MB/s
170315_161220_hippo_b4.czi,1,108528.711 MB , 1465.416 sec , 16 thr , 74.060 MB/s
aligned_images_merfish,595,1.667 MB ,0.336 sec,0,4.8 MB/s




